Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
65,02-01-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12,24,100,NA
65,06-01-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,22,97,NA
65,09-01-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,22,98,NA
65,13-01-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,23,90,NA
65,16-01-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12,22,97,NA
65,20-01-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",9,22,90,NA
65,23-01-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,23,96,NA
65,27-01-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,22,94,NA
65,30-01-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,23,95,NA
65,03-02-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,23,90,NA
65,06-02-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,23,95,NA
65,10-02-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,23,81,NA
65,13-02-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",9,21,91,NA
65,20-02-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",9,22,97,NA
65,24-02-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",9,22,88,NA
65,27-02-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,23,93,NA
65,03-03-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",9,23,88,NA
65,10-03-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,21,93,NA
65,13-03-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,21,93,NA
65,17-03-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",9,20,96,NA
65,20-03-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,23,97,NA
65,24-03-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,22,100,NA
65,27-03-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,23,101,NA
65,31-03-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,30,163,NA
65,07-04-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,23,97,NA
65,10-04-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12,22,90,NA
65,17-04-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,21,91,NA
65,21-04-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,22,99,NA
65,24-04-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,21,92,NA
65,28-04-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,22,96,NA
65,01-05-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,23,92,NA
65,05-05-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",9,21,93,NA
65,08-05-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,21,95,NA
65,12-05-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,21,98,NA
65,15-05-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",9,20,93,NA
65,19-05-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,21,93,NA
65,22-05-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,22,91,NA
65,26-05-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",9,20,93,NA
65,29-05-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,23,97,NA
65,09-06-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,22,93,NA
65,12-06-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",9,20,89,NA
65,16-06-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,21,91,NA
65,19-06-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,23,96,NA
65,26-06-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,23,87,NA
65,30-06-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",11,22,93,NA
65,03-07-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,23,94,NA
65,10-07-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,20,95,NA
65,17-07-15,Chhattisgarh,Bhilai,"Visak Hostel, Sector-4, Bhilai",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",10,21,89,NA
