Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
558,06-08-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,18,31,104,35
558,10-08-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,26,94,32
558,13-08-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,16,28,99,35
558,20-08-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,13,23,82,24
558,24-08-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,29,93,32
558,26-08-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,13,25,77,22
558,28-08-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,12,21,81,27
558,01-09-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,15,26,90,29
558,04-09-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,25,89,27
558,08-09-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,16,26,100,34
558,11-09-15,Dadra and Nagar Haveli,Khadoli,"Khadoli Industrial Area, Village- Khadoli, Silvassa","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,23,83,31
