Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
34,05-01-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,1.466666667,7.783333333,43.38333333,NA
34,07-01-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.716666667,11.13333333,63.55666667,NA
34,09-01-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.516666667,9.55,83.03333333,NA
34,12-01-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.166666667,8.716666667,79.10666667,NA
34,16-01-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.683333333,8.55,63.42666667,NA
34,19-01-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.966666667,8.533333333,38.8,NA
34,23-01-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.774,8.88,46.09666667,NA
34,27-01-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.1025,13.86,64.75,NA
34,28-01-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.69,11.81666667,44.89666667,NA
34,30-01-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.233333333,9.578333333,66.75,NA
34,02-02-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.115,11.0175,51.275,NA
34,04-02-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.408,8.87,46.18,NA
34,06-02-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.283333333,11.51666667,51.14333333,NA
34,09-02-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.53,11.11,46.91,NA
34,11-02-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.92,10.10166667,46.27666667,NA
34,13-02-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.225,9.583333333,37.48333333,NA
34,16-02-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,NA,NA,36.435,NA
34,18-02-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.118,7.618,32.33666667,NA
34,23-02-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.566666667,9.3,42.16666667,NA
34,27-02-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,1.15,6.783333333,44.39,NA
34,04-03-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.383333333,9.683333333,44.52,NA
34,09-03-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.51,9.908333333,39.98333333,NA
34,11-03-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.566666667,8.983333333,42.76333333,NA
34,13-03-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.95,9.216666667,40.08666667,NA
34,16-03-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.731666667,7.983333333,43.99,NA
34,18-03-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,1.383333333,7.45,31.94,NA
34,20-03-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.083333333,10,59.70333333,NA
34,23-03-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.75,10.08333333,22.86,NA
34,25-03-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.7,11.33333333,33.01333333,NA
34,27-03-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.75,13.66666667,33.31333333,NA
34,30-03-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,NA,NA,35.595,NA
34,01-04-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.65,11.32,50.04,NA
34,06-04-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.696666667,8.433333333,49.79333333,NA
34,08-04-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,5.492,10.08,25.26,NA
34,10-04-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,5.583333333,8.533333333,50.31333333,NA
34,13-04-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.271666667,7.516666667,61.91,NA
34,17-04-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.775,10.625,48.665,NA
34,22-04-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,1.575,7.875,47.37,NA
34,24-04-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.645,6.975,29.26,NA
34,27-04-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.35,12.2,32.80333333,NA
34,29-04-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.966666667,9.666666667,42.35333333,NA
34,01-05-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.066666667,9.433333333,43.75,NA
34,06-05-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.216666667,8.916666667,51.64,NA
34,08-05-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,1.65,9.45,75.98333333,NA
34,11-05-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.073333333,11.95,59.30666667,NA
34,13-05-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.37,10.97,56.2,NA
34,15-05-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.706666667,9.39,29.03666667,NA
34,18-05-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.383333333,12.73333333,51.70666667,NA
34,22-05-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.583333333,11.36666667,39.11666667,NA
34,25-05-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.4,11.73333333,58.77666667,NA
34,27-05-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,5.9,8.933333333,61.79,NA
34,29-05-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.333333333,13.63333333,50.84333333,NA
34,01-06-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.625,10.22333333,40.50666667,NA
34,05-06-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.983333333,11.9,43.04333333,NA
34,08-06-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.75,12.71666667,59.55333333,NA
34,10-06-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.666666667,11.65,56.27333333,NA
34,12-06-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,9.866666667,16.16666667,63.11333333,NA
34,15-06-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.93,17.44333333,51.93666667,NA
34,17-06-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.15,11.41666667,49.28,NA
34,19-06-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,7.433333333,13.55,65.71,NA
34,22-06-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.733333333,10.96666667,35.68333333,NA
34,24-06-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.443333333,14.81166667,41.47666667,NA
34,26-06-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.7,11.81666667,43.90333333,NA
34,29-06-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.375,10.582,49.32,NA
34,01-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.24,10.4,67.49666667,NA
34,03-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.7,10.43333333,64.27666667,NA
34,06-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,NA,8.034,37.80666667,NA
34,08-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.15,9.725,27.065,NA
34,13-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.7,8.216666667,24.02333333,NA
34,15-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,5.266666667,9,29.73333333,NA
34,17-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.92,7.32,26.24666667,NA
34,20-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.168333333,6.39,18.61333333,NA
34,22-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.7,11.76,37.29666667,NA
34,24-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.983333333,12.43333333,13.14333333,NA
34,27-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,1.866666667,5.483333333,11.41333333,NA
34,29-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,1.311666667,9.543333333,36.1,NA
34,31-07-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.233333333,12.71666667,11.63333333,NA
34,03-08-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.89,9.025,25.46333333,NA
34,05-08-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.733333333,11.68333333,27.96666667,NA
34,10-08-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.3,6.4,27.385,NA
34,12-08-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.55,11.975,31.65,NA
34,14-08-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,1.95,9.025,20.15,NA
34,17-08-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.083333333,8.45,13.90333333,NA
34,19-08-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.256666667,9.403333333,40.79,NA
34,21-08-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,1.64,10.46,12.89666667,NA
34,24-08-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.633333333,9.45,11.14,NA
34,26-08-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.516666667,9.3,24.28666667,NA
34,28-08-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.016666667,9.15,19.35666667,NA
34,31-08-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.216666667,11.51666667,27.07333333,NA
34,02-09-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,2.666666667,10.28333333,33.43666667,NA
34,04-09-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.933333333,11.95,39.65333333,NA
34,07-09-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.283333333,10.36666667,48.13,NA
34,09-09-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,4.814,14.37,58.45,NA
34,11-09-15,Himachal Pradesh,Shimla,"Tekka Bench Ridge, Simla",Himachal Pradesh State Environment Proection & Pollution Control Board,Sensitive Area,3.866666667,11.96666667,37.48,NA
