Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
44,02-01-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,61,NA
44,06-01-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",14,40,60,NA
44,09-01-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",13,38,64,NA
44,12-01-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",13,39,67,NA
44,16-01-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",10,34,62,NA
44,19-01-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",13,37,59,NA
44,22-01-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",13,36,77,NA
44,29-01-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",14,37,70,NA
44,04-02-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",11,35,58,NA
44,06-02-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,36,59,NA
44,09-02-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,36,82,NA
44,11-02-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",17,36,61,NA
44,13-02-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",13,38,83,NA
44,18-02-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,35,78,NA
44,20-02-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",11,35,56,NA
44,23-02-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,38,73,NA
44,26-02-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",13,38,72,NA
44,03-03-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",10,36,82,NA
44,11-03-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",11,37,79,NA
44,14-03-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,38,82,NA
44,17-03-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,38,79,NA
44,19-03-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",13,38,76,NA
44,21-03-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",11,36,85,NA
44,26-03-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,39,76,NA
44,31-03-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,35,83,NA
44,08-04-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",11,37,80,NA
44,11-04-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,36,79,NA
44,14-04-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,40,80,NA
44,16-04-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",15,38,81,NA
44,18-04-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,36,82,NA
44,21-04-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",11,36,82,NA
44,23-04-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",10,38,76,NA
44,25-04-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,71,NA
44,29-04-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",13,36,80,NA
44,07-05-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",11,34,82,NA
44,09-05-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",13,35,81,NA
44,13-05-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",13,41,85,NA
44,16-05-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,35,73,NA
44,19-05-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",11,35,80,NA
44,21-05-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",12,36,67,NA
44,23-05-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",13,38,73,NA
44,28-05-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",13,35,77,NA
44,30-05-15,Jharkhand,Dhanbad,R.O. Dhanbad,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",11,38,75,NA
46,02-01-15,Jharkhand,Sindri,"BIT, Sindri",Jharkhand State Pollution Control Board,Industrial Area,13,34,59,NA
46,06-01-15,Jharkhand,Sindri,"BIT, Sindri",Jharkhand State Pollution Control Board,Industrial Area,12,38,80,NA
46,09-01-15,Jharkhand,Sindri,"BIT, Sindri",Jharkhand State Pollution Control Board,Industrial Area,14,36,76,NA
46,12-01-15,Jharkhand,Sindri,"BIT, Sindri",Jharkhand State Pollution Control Board,Industrial Area,10,34,70,NA
46,16-01-15,Jharkhand,Sindri,"BIT, Sindri",Jharkhand State Pollution Control Board,Industrial Area,12,34,68,NA
46,19-01-15,Jharkhand,Sindri,"BIT, Sindri",Jharkhand State Pollution Control Board,Industrial Area,13,39,69,NA
46,22-01-15,Jharkhand,Sindri,"BIT, Sindri",Jharkhand State Pollution Control Board,Industrial Area,12,38,73,NA
46,27-01-15,Jharkhand,Sindri,"BIT, Sindri",Jharkhand State Pollution Control Board,Industrial Area,13,37,72,NA
46,29-01-15,Jharkhand,Sindri,"BIT, Sindri",Jharkhand State Pollution Control Board,Industrial Area,12,34,68,NA
46,04-02-15,Jharkhand,Sindri,"BIT, Sindri",Jharkhand State Pollution Control Board,Industrial Area,12,38,80,NA
