Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
120,06-01-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,35,NA
120,08-01-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,33,NA
120,13-01-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,35,NA
120,15-01-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,NA
120,20-01-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,NA
120,22-01-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,34,NA
120,27-01-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,NA
120,29-01-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,NA
120,03-02-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,34,NA
120,05-02-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,38,NA
120,10-02-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,NA
120,12-02-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,NA
120,17-02-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,34,NA
120,19-02-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,NA
120,24-02-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,38,NA
120,26-02-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,37,NA
120,03-03-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,40,NA
120,05-03-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,40,NA
120,10-03-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,42,NA
120,12-03-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,40,NA
120,17-03-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,39,NA
120,19-03-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,39,NA
120,24-03-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,41,NA
120,26-03-15,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad, Shillong",Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",2,5,42,NA
