Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
317,06-01-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,134,NA
317,08-01-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,192,NA
317,13-01-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,186,NA
317,15-01-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,227,NA
317,20-01-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,217,NA
317,22-01-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,193,NA
317,28-01-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,195,NA
317,30-01-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,107,NA
317,03-02-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,183,NA
317,05-02-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,216,NA
317,10-02-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,191,NA
317,12-02-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,252,NA
317,17-02-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,285,NA
317,19-02-15,Nagaland,Dimapur,"Bank Colony,Dimapur,Nagaland",Nagaland State Pollution Control Board,"Residential, Rural and other Areas",2,5,154,NA
