Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
787,13-01-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,106,NA
787,20-01-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,96,NA
787,27-01-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,117,NA
787,03-02-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,99,NA
787,10-02-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,132,NA
787,18-02-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,133,NA
787,24-02-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,NA,NA
787,07-04-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,56,NA
787,16-04-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,89,NA
787,21-04-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,NA
787,28-04-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,102,NA
787,05-05-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,75,NA
787,13-05-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,89,NA
787,19-05-15,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,86,NA
