Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
560,06-08-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,12,22,94,30
560,10-08-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,24,90,28
560,13-08-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,26,73,23
560,17-08-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,12,21,81,22
560,20-08-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,13,23,76,28
560,24-08-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,25,89,27
560,26-08-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,13,22,93,30
560,28-08-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,12,21,87,26
560,01-09-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,13,23,87,29
560,04-09-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,25,89,28
560,08-09-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,23,72,23
560,11-09-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,12,23,81,25
560,15-09-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,12,22,77,21
560,18-09-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,9,19,65,19
560,22-09-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,11,20,74,22
560,25-09-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,11,21,78,25
560,28-09-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,12,22,79,26
560,30-09-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,12,23,76,23
560,06-10-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,25,92,33
560,09-10-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,16,26,90,31
560,13-10-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,25,86,29
560,16-10-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,15,27,82,28
560,20-10-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,25,78,26
560,23-10-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,24,85,27
560,27-10-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,25,86,30
560,30-10-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,13,23,81,25
560,02-11-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,23,85,28
560,06-11-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,25,83,27
560,09-11-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,13,23,79,25
560,14-11-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,15,26,85,29
560,16-11-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,25,80,26
560,20-11-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,14,23,79,25
560,23-11-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,13,21,81,28
560,27-11-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,13,22,76,25
560,01-12-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,19,29,88,33
560,04-12-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,17,28,82,31
560,07-12-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,21,32,91,36
560,11-12-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,22,34,90,34
560,14-12-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,19,30,88,33
560,18-12-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,17,29,85,32
560,21-12-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,18,30,90,35
560,25-12-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,16,29,87,34
560,28-12-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,20,33,84,32
560,30-12-15,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,19,31,81,30
