Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
29,05-01-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,10,20,NA
29,07-01-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,14,27,NA
29,11-01-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,12,29,NA
29,14-01-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,17,57,NA
29,16-01-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,30,30,NA
29,18-01-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,5,66,NA
29,21-01-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,23,32,NA
29,23-01-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,39,34,NA
29,27-01-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,6,46,NA
29,29-01-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,38,60,NA
29,01-02-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,8,29,NA
29,04-02-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,9,51,NA
29,06-02-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,28,39,NA
29,08-02-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,12,48,NA
29,11-02-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,10,43,NA
29,17-02-15,Kerala,Kochi,"Eloor, Kochi",Kerala State Pollution Control Board,Industrial Area,2,11,32,NA
