Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
82,22-06-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,20,16,37,NA
82,25-06-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,25,14,40,NA
82,29-06-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,27,16,40,21
82,02-07-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,33,20,59,38
82,06-07-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,22,15,54,33
82,09-07-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,26,18,53,37
82,13-07-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,31,21,52,34
82,16-07-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,29,16,56,29
82,23-07-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,30,15,48,NA
82,30-07-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,32,14,45,NA
82,03-08-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,33,18,39,NA
82,06-08-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,32,21,42,NA
82,10-08-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,22,16,45,NA
82,13-08-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,25,14,39,NA
82,24-08-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,30,20,49,50
82,27-08-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,32,20,56,53
82,31-08-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,28,19,56,43
82,03-09-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,40,21,53,29
82,07-09-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,28,17,61,32.6
82,10-09-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,35,18,54,32.8
82,14-09-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,27,16,46,33.3
82,17-09-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,39,18,47,24.8
82,21-09-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,28,20,53,29.3
82,24-09-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,32,19,48,42
82,28-09-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,20,16,52,37
82,01-10-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,35,23,55,29
82,05-10-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,26,18,55,33
82,08-10-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,34,17,50,38
82,12-10-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,29,15,52,42
82,15-10-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,38,20,55,32
82,19-10-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,35,22,57,33.5
82,22-10-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,24,14,57,29
82,26-10-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,29,17,41,41.5
82,29-10-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,30,17,44,37.5
82,02-11-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,26,20,53,46.2
82,05-11-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,29,16,60,38
82,09-11-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,30,18,55,37
82,12-11-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,37,20,59,50
82,16-11-15,Madhya Pradesh,Nagda,"Chemical Division Labour Club, Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,28,21,48,33.5
