Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
450,02-01-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,47,NA
450,06-01-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,44,NA
450,08-01-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,46,NA
450,13-01-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,48,NA
450,15-01-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,46,NA
450,20-01-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,46,NA
450,22-01-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,46,NA
450,27-01-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,8,46,NA
450,29-01-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,46,NA
450,03-02-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,39,NA
450,05-02-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,42,NA
450,10-02-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,44,NA
450,12-02-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,42,NA
450,17-02-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,44,NA
450,19-02-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,31,NA
450,24-02-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,45,NA
450,26-02-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,46,NA
450,02-03-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,48,NA
450,04-03-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,25,NA
450,06-03-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,49,NA
450,09-03-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,49,NA
450,11-03-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,51,NA
450,13-03-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,51,NA
450,17-03-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,48,NA
450,19-03-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,45,NA
450,09-04-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,11,49,NA
450,11-04-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,10,55,NA
450,14-04-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,88,NA
450,16-04-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,8,77,NA
450,18-04-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,8,65,NA
450,28-04-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,22,42,NA
450,30-04-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,33,NA
450,06-05-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,12,66,NA
450,08-05-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,28,NA
450,12-05-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,14,46,NA
450,14-05-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,11,55,NA
450,16-05-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,9,36,NA
450,19-05-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,37,NA
450,21-05-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,8,25,NA
450,23-05-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,11,27,NA
450,26-05-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,13,56,NA
450,28-05-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,9,42,NA
450,02-06-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,10,40,NA
450,04-06-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",3,8,28,NA
450,06-06-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,9,30,NA
450,09-06-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,20,NA
450,11-06-15,Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,15,NA
