Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
64,05-01-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",5,11,22,NA
64,08-01-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",5,11,34,NA
64,12-01-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,12,49,NA
64,19-01-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,12,38,NA
64,22-01-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",5,11,30,NA
64,29-01-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,12,30,NA
64,02-02-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",5,11,56,NA
64,05-02-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",5,10,45,NA
64,09-02-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,11,45,NA
64,12-02-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",5,11,18,NA
64,16-02-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,11,51,NA
64,19-02-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,12,39,NA
64,23-02-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,12,33,NA
64,26-02-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,13,26,NA
64,02-03-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,12,29,NA
64,05-03-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",5,12,32,NA
64,09-03-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,11,48,NA
64,12-03-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,11,35,NA
64,16-03-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,14,34,NA
64,19-03-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,14,39,NA
64,23-03-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",5,14,39,NA
64,26-03-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",5,13,44,NA
64,30-03-15,Puducherry,Pondicherry,"DSTC Office Upstairs, PHB 3rd Floor, AnnaNagar. Pondicherry-5.",Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",6,15,35,NA
