Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
89,03-01-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,30,159,NA
89,08-01-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",25,29,157,NA
89,13-01-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,29,175,NA
89,16-01-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",26,28,170,NA
89,20-01-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",26,30,236,NA
89,23-01-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",26,30,147,NA
89,27-01-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",25,30,144,NA
89,30-01-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",26,29,180,NA
89,11-02-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,31,239,NA
89,20-02-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",25,30,156,NA
89,24-02-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",25,30,170,NA
89,27-02-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",26,29,185,NA
89,09-03-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,31,138,NA
89,11-03-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,30,133,NA
89,13-03-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,31,224,NA
89,17-03-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",26,29,156,NA
89,19-03-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,30,158,NA
89,23-03-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,31,221,NA
89,25-03-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,29,153,NA
89,27-03-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",26,28,157,NA
89,09-04-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,32,148,NA
89,15-04-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,29,135,NA
89,18-04-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",29,31,216,NA
89,22-04-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,30,132,NA
89,25-04-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",26,29,134,NA
89,27-04-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",25,30,152,NA
89,29-04-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",27,29,146,NA
89,05-05-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,33,191,NA
89,08-05-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,30,244,NA
89,13-05-15,Uttarakhand,Dehradun,"Clock Tower, PWD Guest House, Dehradun",Uttarakhand Environment Protection and Pollution Control Board,"Residential, Rural and other Areas",28,31,229,NA
